type,support,finetune,Augmentation,accuracy,top-3,top-5
wild,9,No,,0.00874635,0.0291545,0.034985423
wild,9,Yes,,0.2799,0.4604,0.5102
wild,7,No,,0.01086956,0.02717391215,0.0434782
wild,7,Yes,,0.2518,0.4076,0.4783
wild,5,No,,0.016587,0.039099,0.0533
wild,5,Yes,,0.1647,0.2547,0.3211
wild,3,No,,0.02132,0.038704,0.0616
wild,3,Yes,,0.08926,0.1698,0.2196
wild,1,No,,0.019988,0.04386,0.05719
wild,1,Yes,,0.04775,0.08773,0.1116
zoo,1,No,,0.323178,0.4982078,0.62843489
zoo,1,Yes,,0.4486,0.5854,0.6589
zoo,2,No,,0.357272177,0.5847917,0.68919
zoo,2,Yes,,0.5757,0.7224,0.8057
zoo,3,No,,0.428048,0.6926,0.8
zoo,3,Yes,,0.8104,0.9232,0.9591
zoo,5,No,,0.490037,0.7434,0.84495
zoo,5,Yes,,0.9178,0.9664,0.9763
zoo,7,No,,0.53498,0.75381,0.8346
zoo,7,Yes,,0.9911,0.9949,0.9949
zoo,9,No,,0.548114,0.76202,0.8381
zoo,9,Yes,,0.9883,0.9983,0.9928
