type,support,finetune,Augmentation,accuracy,top-3,top-5,epochs,lr
zoo,5,No,,0.6382,0.807,0.8829,NA,
zoo,5,Yes,No,0.7522,0.8804,0.9228,60,0.00005
zoo,5,Yes,,0.8518,0.9284,0.9545,60,0.0001
zoo,3,No,,0.55487,0.80975,0.89695,,
zoo,3,Yes,,0.7762,0.9,0.9433,,
zoo,7,No,,0.685,0.88687497,0.9493749,,
zoo,7,Yes,,0.9313,0.9777,0.9885,,
zoo,9,No,,0.680104,0.8966,0.946684,,
zoo,9,Yes,,0.9538,0.985,0.9922,,
zoo,1,No,,0.47431,0.69175,0.786738,,
zoo,1,Yes,,0.4385,0.5717,0.7025,,
zoo,2,No,,0.4616777,0.727217,0.85697,,
zoo,2,Yes,,0.5818,0.776,0.8696,,
zoo,20,No,,0.70392304,0.883789777,0.94522577,,
zoo,20,Yes,,0.9697,0.9896,0.9978,,
zoo,30,No,,0.7078746,0.872988,0.940728,,
zoo,30,Yes,,0.978,0.9958,0.9966,,
wild,1,No,,0.0277623,0.060521,0.07995,,
wild,1,Yes,,0.0472,0.08606,0.1055,,
wild,3,No,,0.024486,0.0537124,0.07345,,
wild,3,Yes,,0.1106,0.1785,0.2227,,
wild,5,No,,0.02369668,0.0521326996,0.0663,,
wild,5,Yes,,0.1647,0.2642,0.3258,,
wild,7,No,,0.00905,0.04166,0.059782,,
wild,7,Yes,,0.212,0.3424,0.413,,
wild,9,No,,0.011661808,0.02040816,0.040816,,
wild,9,Yes,,0.3032,0.4461,0.5248,,
